query_name,resolved_name,ott_id,rank,resolution_status,analysis_rule,n_tnrs_matches
Sepia apama,Sepia apama,571978,species,clean_self,exact_species_terminal,1
Serracutisoma proximum,Acutisoma proximum,5097765,species,manual_legacy_ott_crosswalk,retain_valid_current_name,0
Smicrornis brevirostris,Smicrornis brevirostris,918675,species,clean_self,exact_species_terminal,1
Sotalia guianensis,Sotalia guianensis,250045,species,clean_self,exact_species_terminal,1
Sousa sahulensis,Sousa sahulensis,5839562,species,clean_self,exact_species_terminal,1
Stegodyphus dumicola,Stegodyphus dumicola,574050,species,clean_self,exact_species_terminal,1
Suricata suricatta,Suricata suricatta,803645,species,clean_self,exact_species_terminal,1
Taeniopygia guttata,Taeniopygia guttata,708327,species,clean_self,exact_species_terminal,1
Thamnophis butleri,Thamnophis butleri,681053,species,clean_self,exact_species_terminal,1
Thryothorus eisenmanni,Pheugopedius eisenmanni,3599099,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,1
Tiliqua rugosa,Tiliqua rugosa,87622,species,clean_self,exact_species_terminal,1
Trachypithecus johnii,Trachypithecus johnii,514751,species,clean_self,exact_species_terminal,1
Tragelaphus eurycerus,Tragelaphus eurycerus,215885,species,clean_self,exact_species_terminal,1
Trichoniscus pusillus,Trichoniscus pusillus,240540,species,clean_self,exact_species_terminal,1
Trichosurus cunninghami,Trichosurus cunninghami,821675,species,clean_self,exact_species_terminal,1
Trichosurus johnstonii,Trichosurus johnstonii,44500,species,clean_self,exact_species_terminal,1
Tursiops aduncus,Tursiops aduncus,257323,species,clean_self,exact_species_terminal,1
Tursiops truncatus,Tursiops truncatus,124230,species,clean_self,exact_species_terminal,1
Ursus americanus,Ursus americanus,872577,species,clean_self,exact_species_terminal,1
Zalophus californianus,Zalophus californianus,95364,species,clean_self,exact_species_terminal,1
Zalophus japonicus,Zalophus japonicus,916955,species,clean_self,exact_species_terminal,1
Zonotrichia atricapilla,Zonotrichia atricapilla,265554,species,clean_self,exact_species_terminal,1
Zonotrichia capensis,Zonotrichia capensis,265551,species,clean_self,exact_species_terminal,1
Zonotrichia leucophrys,Zonotrichia leucophrys,265553,species,clean_self,exact_species_terminal,1
Zosis geniculata,Zosis geniculata,476594,species,clean_self,exact_species_terminal,1
