scientific_name,retrieval_rank,paper_id,title,screening_status
Ctenophorus nuchalis,20,pmid:38128351,Inference of social cognition in schizophrenia patients with neurocognitive domains and neurocognitive tests using automated machine learning.,pending
Ctenophorus nuchalis,21,pmcid:PMC4985696,Social context affects tail displays by Phrynocephalus vlangalii lizards from China.,pending
Ctenophorus nuchalis,22,pmid:23354759,Social learning of an associative foraging task in zebrafish.,pending
Ctenophorus nuchalis,23,pmcid:PMC13106993,"Insights Into Spatial Orientation and Cognition in Tarantulas (Araneae: Theraphosidae) Under Natural Conditions, With Notes on Possible Ontogenetic Niche Shifts.",pending
Ctenophorus nuchalis,24,pmcid:PMC12534598,Primary and secondary caregiver burden of cognitive impairment associated with schizophrenia: a qualitative study based on caregiver interviews.,pending
Ctenophorus nuchalis,25,pmcid:PMC6832187,Maze learning and memory in a decapod crustacean.,pending
Hyla versicolor,1,pmid:41538034,Dynamic strategic social learning in nest-building zebra finches and its generalizability.,pending
Hyla versicolor,2,pmid:29436762,Social learning in nest-building birds watching live-streaming video demonstrators.,pending
Hyla versicolor,3,doi:10.1101/2025.06.06.658225,Dynamic strategic social learning in nest-building zebra finches and its generalisability,pending
Hyla versicolor,4,pmid:33959875,Learning about construction behaviour from observing an artefact: can experience with conspecifics aid in artefact recognition?,pending
Hyla versicolor,5,pmcid:PMC123666,"Social intelligence, innovation, and enhanced brain size in primates.",pending
Hyla versicolor,6,pmid:35570086,Social cognition in insects.,pending
Hyla versicolor,7,pmid:35051940,"Ecology, Cognition, and the Hippocampus: A Tale of Two Frogs.",pending
Hyla versicolor,8,pmid:27639446,Social manipulation in nonhuman primates: Cognitive and motivational determinants.,pending
Hyla versicolor,9,pmid:17624451,"Communal nesting, an early social enrichment, affects social competences but not learning and memory abilities at adulthood.",pending
Hyla versicolor,10,pmid:40592222,Two-year-olds' social learning from others' mistakes in the context of a modified trap-tube task.,pending
Hyla versicolor,11,pmid:7636766,Selective phonotaxis to advertisement calls in the grey treefrog Hyla versicolor: behavioral experiments and neurophysiological correlates.,pending
Hyla versicolor,12,pmid:21382262,"Innovation, imitation, and problem-solving in a networked group.",pending
Hyla versicolor,13,pmid:20206525,Complexity increases working memory for mating signals.,pending
Hyla versicolor,14,arxiv:2510.18515,Socialized Learning and Emergent Behaviors in Multi-Agent Systems based on Multimodal Large Language Models,pending
Hyla versicolor,15,pmid:34626427,"Woe is the loner: Female treefrogs prefer clusters of displaying males over single ""hotshot"" males.",pending
Hyla versicolor,16,pmcid:PMC2898283,"A precedence effect underlies preferences for calls with leading pulses in the grey treefrog, Hyla versicolor.",pending
Hyla versicolor,17,pmcid:PMC4810823,Young children spontaneously invent wild great apes' tool-use behaviours.,pending
Hyla versicolor,18,pmid:18729654,Assessment of distance to potential mates by female barking treefrogs (Hyla gratiosa).,pending
Hyla versicolor,19,pmcid:PMC6409507,Do Green Treefrogs Use Social Information to Orient Outside the Breeding Season?,pending
Hyla versicolor,20,pmid:20577882,"Phonotaxis to male's calls embedded within a chorus by female gray treefrogs, Hyla versicolor.",pending
Hyla versicolor,21,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending
Hyla versicolor,22,doi:10.1101/2025.08.23.670182,Treefrogs exploit temporal onset synchrony and harmonicity in forming auditory objects of vocal communication signals,pending
Hyla versicolor,23,pmid:27040522,Evolution of costly explicit memory and cumulative culture.,pending
Hyla versicolor,24,pmcid:PMC4096220,Treefrogs as animal models for research on auditory scene analysis and the cocktail party problem.,pending
Hyla versicolor,25,pmid:42114360,"Insightful problem solving and social learning in children's tool making: Exploring the role of napping, night sleep, age, and gender.",pending
Metazygia rogenhoferi,1,pmid:16816091,"Dimensions of cognition in an insect, the honeybee.",pending
Metazygia rogenhoferi,2,pmid:16458018,"Studying primate learning in group contexts: Tests of social foraging, response to novelty, and cooperative problem solving.",pending
Metazygia rogenhoferi,3,pmcid:PMC4932492,Evidence for social cooperation in rodents by automated maze.,pending
Metazygia rogenhoferi,4,pmid:5363237,Learning in spiders.,pending
Metazygia rogenhoferi,5,pmid:42169389,Creative problem solving in a jumping spider.,pending
Metazygia rogenhoferi,6,pmcid:PMC13106993,"Insights Into Spatial Orientation and Cognition in Tarantulas (Araneae: Theraphosidae) Under Natural Conditions, With Notes on Possible Ontogenetic Niche Shifts.",pending
Metazygia rogenhoferi,7,pmcid:PMC8666914,Collective minds: social network topology shapes collective cognition.,pending
Metazygia rogenhoferi,8,pmcid:PMC3730619,Spatial learning affects thread tension control in orb-web spiders.,pending
Metazygia rogenhoferi,9,arxiv:2510.18515,Socialized Learning and Emergent Behaviors in Multi-Agent Systems based on Multimodal Large Language Models,pending
Metazygia rogenhoferi,10,pmcid:PMC4323732,Solving a novel confinement problem by spartaeine salticids that are predisposed to solve problems in the context of predation.,pending
Metazygia rogenhoferi,11,pmcid:PMC5605539,Gender differences measured by the MATRICS consensus cognitive battery in chronic schizophrenia patients.,pending
Metazygia rogenhoferi,12,pmid:42235898,Where am I? Where was I going? What was I doing? Memories that guide orb web construction.,pending
Metazygia rogenhoferi,13,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending
Metazygia rogenhoferi,14,pmid:24896019,Cognitive approach of spatial and temporal information processing in insects.,pending
Metazygia rogenhoferi,15,pmid:35570086,Social cognition in insects.,pending
Metazygia rogenhoferi,16,pmid:18840365,Cognitive and psychomotor effects of risperidone in schizophrenia and schizoaffective disorder.,pending
Metazygia rogenhoferi,17,pmid:815017,"[L'""apprentissage social"" chez le termite de santonge].",pending
Metazygia rogenhoferi,18,pmid:41538034,Dynamic strategic social learning in nest-building zebra finches and its generalizability.,pending
Metazygia rogenhoferi,19,pmid:10877905,Age-related sequential web building in the colonial spider Metepeira incrassata (Araneidae): an adaptive spacing strategy.,pending
Metazygia rogenhoferi,20,pmid:37552941,Long-term spatial memory across large spatial scales in Heliconius butterflies.,pending
Metazygia rogenhoferi,21,pmid:27311315,"Lions (Panthera leo) solve, learn, and remember a novel resource acquisition problem.",pending
Metazygia rogenhoferi,22,pmid:38128351,Inference of social cognition in schizophrenia patients with neurocognitive domains and neurocognitive tests using automated machine learning.,pending
Metazygia rogenhoferi,23,pmid:15714883,[Maternal inheritance in a subsocial spider: web for collective prey capturing of the young].,pending
Metazygia rogenhoferi,24,pmcid:PMC12534598,Primary and secondary caregiver burden of cognitive impairment associated with schizophrenia: a qualitative study based on caregiver interviews.,pending
Metazygia rogenhoferi,25,pmcid:PMC5394149,Extended spider cognition.,pending
Natrix natrix,1,pmid:41538034,Dynamic strategic social learning in nest-building zebra finches and its generalizability.,pending
Natrix natrix,2,doi:10.1101/2025.06.06.658225,Dynamic strategic social learning in nest-building zebra finches and its generalisability,pending
Natrix natrix,3,pmid:33959875,Learning about construction behaviour from observing an artefact: can experience with conspecifics aid in artefact recognition?,pending
Natrix natrix,4,pmid:27639446,Social manipulation in nonhuman primates: Cognitive and motivational determinants.,pending
Natrix natrix,5,pmid:29436762,Social learning in nest-building birds watching live-streaming video demonstrators.,pending
Natrix natrix,6,pmid:35570086,Social cognition in insects.,pending
Natrix natrix,7,pmcid:PMC123666,"Social intelligence, innovation, and enhanced brain size in primates.",pending
Natrix natrix,8,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending
Natrix natrix,9,pmcid:PMC4126636,Age-dependent social learning in a lizard.,pending
Natrix natrix,10,arxiv:2510.18515,Socialized Learning and Emergent Behaviors in Multi-Agent Systems based on Multimodal Large Language Models,pending
Natrix natrix,11,pmcid:PMC4810823,Young children spontaneously invent wild great apes' tool-use behaviours.,pending
Natrix natrix,12,pmid:33073470,Learning in non-avian reptiles 40 years on: advances and promising new directions.,pending
Natrix natrix,13,pmcid:PMC12404675,Diverse and flexible strategies enable successful cooperation in marmoset dyads.,pending
Natrix natrix,14,pmcid:PMC12247960,Diverse and Flexible Strategies Enable Successful Cooperation in Marmoset Dyads,pending
Natrix natrix,15,pmid:17205290,Social learning and innovation are positively correlated in pigeons (Columba livia).,pending
Natrix natrix,16,pmcid:PMC8666913,Complex foraging behaviours in wild birds emerge from social learning and recombination of components.,pending
Natrix natrix,17,pmid:21898514,Sex ratio affects sex-specific innovation and learning in captive ruffed lemurs (Varecia variegata and Varecia rubra).,pending
Natrix natrix,18,pmid:17624451,"Communal nesting, an early social enrichment, affects social competences but not learning and memory abilities at adulthood.",pending
Natrix natrix,19,pmid:21382262,"Innovation, imitation, and problem-solving in a networked group.",pending
Natrix natrix,20,pmcid:PMC6227858,Learning from others: an invasive lizard uses social information from both conspecifics and heterospecifics.,pending
Natrix natrix,21,pmcid:PMC12440625,Better together than alone: sociality mitigates the negative impact of early family disruption on adult problem-solving performance in zebra finches.,pending
Natrix natrix,22,pmid:27311315,"Lions (Panthera leo) solve, learn, and remember a novel resource acquisition problem.",pending
Natrix natrix,23,pmid:36893231,Social signal learning of the waggle dance in honey bees.,pending
Natrix natrix,24,pmid:25199480,Social learning by imitation in a reptile (Pogona vitticeps).,pending
Natrix natrix,25,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending
Nephila clavipes,1,pmid:23771493,The role of learning in risk-avoidance strategies during spider-ant interactions.,pending
Nephila clavipes,2,pmid:25164624,Nephila clavipes spiders (Araneae: Nephilidae) keep track of captured prey counts: testing for a sense of numerosity in an orb-weaver.,pending
Nephila clavipes,3,pmcid:PMC5394149,Extended spider cognition.,pending
Nephila clavipes,4,pmid:35570086,Social cognition in insects.,pending
Nephila clavipes,5,pmid:29436762,Social learning in nest-building birds watching live-streaming video demonstrators.,pending
Nephila clavipes,6,pmid:41538034,Dynamic strategic social learning in nest-building zebra finches and its generalizability.,pending
Nephila clavipes,7,doi:10.1101/2025.06.06.658225,Dynamic strategic social learning in nest-building zebra finches and its generalisability,pending
Nephila clavipes,8,pmid:42169389,Creative problem solving in a jumping spider.,pending
Nephila clavipes,9,pmid:33959875,Learning about construction behaviour from observing an artefact: can experience with conspecifics aid in artefact recognition?,pending
Nephila clavipes,10,pmcid:PMC4751061,The execution of planned detours by spider-eating predators.,pending
