scientific_name,pool_role,current_panel,acdb,asnr,source_feasibility,biological_proxy_blocks,geometry_dimensions,body_mass_g_best,max_longevity_yrs,female_maturity_days,at_brain_kg,relative_brain_resid_class,at_metabolic_w,metabolic_rate_w_anage,diet_entropy,animal_diet_fraction,social_group_size,population_group_size,population_density_km2,network_nodes,network_density,network_clustering,network_qrel,asnr_network_count,G_life_history_proxy,H_neural_energy_proxy,I_ecology_proxy,J_demography_proxy,F_network_proxy
Dipodomys ingens,database_unrepresented_family_mass_calibration,no,no,no,2,2,4,133.85,,,,,,,0.9854752972273343,0.2,,,3868.35,,,,,,0,0,1,1,0
Dipodomys spectabilis,asnr_source_candidate,no,no,yes,5,4,9,135.88,12.7,310.0,,,,,0.9854752972273343,0.2,,,397.71,19.0,0.076,0.0,0.467,1,1,0,1,1,1
Elephas maximus,current_deep_panel,yes,no,yes,6,5,10,2915040.0,79.6,3287.0,,,,2336.5,0.0,0.0,7.75,,0.53,73.0,0.023,0.04,0.734,1,1,1,1,1,1
Emberiza fucata,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,19.8,,,,,,,0.81734542214651,0.3,,,,,,,,,0,0,1,0,0
Enhydra lutris,theory_discriminating_candidate,no,no,no,4,4,6,23500.0,27.0,974.0,,,,98.479,1.0,1.0,,,6.46,,,,,,1,1,1,1,0
Eothenomys proditor,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,42.5,,,,,,,0.7219280948873623,0.0,,,,,,,,,0,0,1,0,0
Epidalea calamita,asnr_source_candidate,no,no,yes,2,1,3,,,,,,,,,,,,,22.0,0.052,0.0,,1,0,0,0,0,1
Equus grevyi,asnr_source_candidate,no,no,yes,5,4,9,407999.85,31.0,1278.0,,,,,0.0,0.0,,,2.27,27.0,0.316,0.876,0.587,1,1,0,1,1,1
Equus quagga,database_unrepresented_family_mass_calibration,no,no,no,2,2,5,400000.0,38.0,900.0,,,,,0.0,0.0,,,,,,,,,1,0,1,0,0
Eremophila bilopha,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,38.5,,,,,,,0.5816718657178868,0.1,,,,,,,,,0,0,1,0,0
Erythrocebus patas,asnr_source_candidate,no,no,yes,6,5,11,8090.0,30.0,956.0,0.1002,0.19569855453508112,,5.958,0.9602297178607612,0.0,28.0,20.5,0.26,19.0,0.287,0.559,0.404,1,1,1,1,1,1
Eschrichtius robustus,acdb_source_candidate,no,yes,no,4,3,7,28500000.0,77.0,2922.0,,,,,0.46899559358928117,1.0,16.0,16.0,4.9,,,,,,1,0,1,1,0
Eubalaena australis,acdb_source_candidate,no,yes,no,4,3,6,23000000.0,70.0,3285.0,,,,,0.0,1.0,2.5,,,,,,,,1,0,1,1,0
Eubalaena glacialis,database_unrepresented_family_mass_calibration,no,no,no,3,3,6,23000000.0,67.0,2920.0,,,,,0.0,1.0,7.0,,,,,,,,1,0,1,1,0
Eulacestoma nigropectus,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,20.0,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Eulemur fulvus,database_unrepresented_family_mass_calibration,no,no,no,4,4,8,3150.0,35.5,509.0,0.0233,0.059168604717358075,,4.239,0.8812908992306927,0.0,9.15,9.25,221.0,,,,,,1,1,1,1,0
Eupleres goudotii,database_unrepresented_family_mass_calibration,no,no,no,2,2,3,3000.0,,,,,,,0.46899559358928117,1.0,,2.0,,,,,,,0,0,1,1,0
Falcunculus frontatus,acdb_source_candidate,no,yes,no,4,3,5,27.94,11.9,,0.00128464,0.06447158591115221,,,0.5816718657178868,0.8,,,,,,,,,1,1,1,0,0
Fringilla coelebs,acdb_source_candidate,no,yes,no,4,3,5,23.81,29.0,365.0,,,,0.373,0.8649735207179272,0.6,,,,,,,,,1,1,1,0,0
Galerella sanguinea,database_unrepresented_family_mass_calibration,no,no,no,4,4,6,550.0,12.6,365.0,,,2.28,2.202,0.7298466991620974,0.9,,,1.32,,,,,,1,1,1,1,0
Gallinago media,asnr_source_candidate,no,no,yes,4,3,7,169.96,5.9,,,,,,0.7219280948873623,0.8,,,,13.0,0.1005,0.0,0.4005,4,1,0,1,0,1
Gallinago nemoricola,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,167.67,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Gallus domesticus,asnr_source_candidate,no,no,yes,2,1,3,,,,,,,,,,,,,32.0,1.0,1.0,,1,0,0,0,0,1
Gallus gallus,asnr_source_candidate,no,no,yes,1,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0
Gasterosteus aculeatus,asnr_source_candidate,no,no,yes,3,2,4,,8.0,,,,,,,,,,,8.0,1.0,1.0,0.017,36,1,0,0,0,1
Gerygone fusca,acdb_source_candidate,no,yes,no,4,3,5,5.4,6.5,,0.00035224,-0.00916071708771904,,,0.0,1.0,,,,,,,,,1,1,1,0,0
Gopherus agassizii,asnr_source_candidate,no,no,yes,3,2,6,2784.0,62.8,5500.0,,,,,,,,,,44.0,0.017,0.124,0.526,53,1,0,0,0,1
Gorilla beringei,current_deep_panel,yes,yes,no,2,1,3,149325.19,,,,,,,0.46899559358928117,0.0,,,,,,,,,0,0,1,0,0
Gorilla gorilla,current_deep_panel,yes,yes,no,5,4,8,131625.52,60.1,2829.0,0.45455,-0.050468649876556804,,,0.46899559358928117,0.0,6.0,10.0,0.59,,,,,,1,1,1,1,0
Gryllus campestris,asnr_source_candidate,no,no,yes,2,1,3,,,,,,,,,,,,,69.0,0.043,0.0,0.732,3,0,0,0,0,1
Gyps fulvus,acdb_source_candidate,no,yes,no,3,2,5,7435.99,41.4,1460.0,,,,,0.0,1.0,,,,,,,,,1,0,1,0,0
Gyps rueppellii,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,7399.99,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Haemorhous mexicanus,asnr_source_candidate,no,no,yes,4,3,6,21.4,11.6,363.0,,,,0.3108,,,,,,117.0,0.151,0.604,0.598,1,1,1,0,0,1
Helogale parvula,asnr_source_candidate,no,no,yes,4,3,8,300.0,20.0,456.0,,,,,0.7298466991620974,0.9,,,,6.5,0.919,0.9165000000000001,0.0225,14,1,0,1,0,1
Heterocephalus glaber,theory_discriminating_candidate,no,no,no,4,4,6,55.0,31.0,228.0,,,,0.128,0.0,0.0,,180.0,11100.0,,,,,,1,1,1,1,0
Hipposideros larvatus,acdb_source_candidate,no,yes,no,2,1,3,19.85,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Hipposideros maggietaylorae,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,18.5,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Hirundo rustica,asnr_source_candidate,no,no,yes,5,4,9,17.91,16.0,365.0,0.000879,-0.009127744598043996,,0.3158,0.5816718657178868,0.8,,,,17.0,0.6435,0.7385,0.20049999999999998,2,1,1,1,0,1
Homo sapiens,current_deep_panel,yes,no,no,3,3,6,58540.63,122.5,4745.0,1.3050000000000002,0.6880774539499288,,82.78,0.8173454221465101,0.1,,,,,,,,,1,1,1,0,0
Hyaena brunnea,database_unrepresented_family_mass_calibration,no,no,no,3,3,6,42977.93,31.9,1000.0,,,,,0.6783898247235197,0.9,,,0.01,,,,,,1,0,1,1,0
Hyla versicolor,data_rich_underrepresented_clade_calibration,no,no,no,2,2,3,7.2,7.8,730.0,4.225844e-05,,,0.00433,,,,,,,,,,,1,1,0,0,0
Hypsugo savii,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,6.3,,,,,,,0.0,1.0,,,,,,,,,0,0,1,0,0
Junco hyemalis,acdb_source_candidate,no,yes,no,4,3,5,19.5,11.3,365.0,,,0.3717979166666665,0.2959,0.8812908992306927,0.3,,,,,,,,,1,1,1,0,0
Kogia breviceps,database_unrepresented_family_mass_calibration,no,no,no,2,2,4,431500.0,17.0,,,,,,0.0,1.0,,,,,,,,,1,0,1,0,0
Labroides dimidiatus,theory_discriminating_candidate,no,no,no,1,1,1,,4.0,,,,,,,,,,,,,,,,1,0,0,0,0
