candidate_species,current_panel,acdb,asnr,source_name_count,raw_names,normalization_flags,acdb_class,acdb_order,acdb_family,asnr_class,asnr_network_rows
Loxodonta africana,yes,yes,no,1,Loxodonta africana,as_supplied_binomial,Mammalia,Proboscidea,Elephantidae,,0
Macaca arctoides,no,no,yes,1,Macaca arctoides,as_supplied_binomial,,,,Mammalia,2
Macaca assamensis,no,no,yes,1,Macaca assamensis,as_supplied_binomial,,,,Mammalia,2
Macaca fascicularis,no,no,yes,1,Macaca fascicularis,as_supplied_binomial,,,,Mammalia,3
Macaca fuscata,yes,yes,yes,2,Macaca fuscata; Macaca fuscata fuscata,as_supplied_binomial; collapse_trinomial_to_species,Mammalia,Primates,Cercopithecidae,Mammalia,8
Macaca mulatta,no,no,yes,1,Macaca mulatta,as_supplied_binomial,,,,Mammalia,13
Macaca radiata,no,no,yes,1,Macaca radiata,as_supplied_binomial,,,,Mammalia,2
Macaca sylvanus,no,no,yes,1,Macaca sylvanus,as_supplied_binomial,,,,Mammalia,13
Macaca tonkeana,no,no,yes,1,Macaca tonkeana,as_supplied_binomial,,,,Mammalia,3
Macropus giganteus,no,no,yes,1,Macropus giganteus,as_supplied_binomial,,,,Mammalia,1
Mandrillus sphinx,no,no,yes,1,Mandrillus sphinx,as_supplied_binomial,,,,Mammalia,9
Megaptera novaeangliae,yes,yes,no,1,Megaptera novaeangliae,as_supplied_binomial,Mammalia,Cetacea,Balaenopteridae,,0
Melopsittacus undulatus,yes,no,no,1,Melopsittacus undulatus,as_supplied_binomial,,,,,0
Melospiza georgiana,no,yes,no,1,Melospiza georgiana,as_supplied_binomial,Aves,Passeriformes,Passerellidae,,0
Meriones unguiculatus,no,yes,no,1,Meriones unguiculatus,as_supplied_binomial,Mammalia,Rodentia,Muridae,,0
Microtus agrestis,no,no,yes,1,Microtus agrestis,as_supplied_binomial,,,,Mammalia,255
Mirounga angustirostris,no,no,yes,1,Mirounga angustirostris,as_supplied_binomial,,,,Mammalia,4
Molothrus ater,no,yes,yes,1,Molothrus ater,as_supplied_binomial,Aves,Passeriformes,Icteridae,Aves,1
Mus musculus,no,no,yes,2,Mus musculus; Mus musculus domesticus,as_supplied_binomial; collapse_trinomial_to_species,,,,Mammalia,5
Myiomela major,no,yes,no,1,Myiomela major,as_supplied_binomial,Aves,Passeriformes,Muscicapidae,,0
Myiopsitta monachus,no,no,yes,1,Myiopsitta monachus,as_supplied_binomial,,,,Aves,8
Myotis sodalis,no,no,yes,1,Myotis sodalis,as_supplied_binomial,,,,Mammalia,1
Nestor notabilis,yes,no,no,1,Nestor notabilis,as_supplied_binomial,,,,,0
Octopus vulgaris,yes,no,no,1,Octopus vulgaris,as_supplied_binomial,,,,,0
Orcinus orca,yes,yes,yes,1,Orcinus orca,as_supplied_binomial,Mammalia,Cetacea,Delphinidae,Mammalia,2
Otis tarda,no,yes,no,1,Otis tarda,as_supplied_binomial,Aves,Otidiformes,Otididae,,0
Otospermophilus beecheyi,no,no,yes,1,Otospermophilus beecheyi,as_supplied_binomial,,,,Mammalia,4
Ovis aries,no,no,yes,1,Ovis aries,as_supplied_binomial,,,,Mammalia,1
Ovis canadensis,no,no,yes,1,Ovis canadensis,as_supplied_binomial,,,,Mammalia,1
Pampa curvipennis,no,yes,no,1,Pampa curvipennis,as_supplied_binomial,Aves,Apodiformes,Trochilidae,,0
Pan paniscus,yes,yes,yes,1,Pan paniscus,as_supplied_binomial,Mammalia,Primates,Hominidae,Mammalia,23
Pan troglodytes,yes,yes,yes,4,Pan troglodytes; Pan troglodytes schweinfurthii; Pan troglodytes troglodytes; Pan troglodytes verus,as_supplied_binomial; collapse_trinomial_to_species,Mammalia,Primates,Hominidae,Mammalia,4
Panthera leo,no,no,yes,1,Panthera leo,as_supplied_binomial,,,,Mammalia,4
Papio anubis,no,no,yes,1,Papio anubis,as_supplied_binomial,,,,Mammalia,8
Papio cynocephalus,no,no,yes,1,Papio cynocephalus,as_supplied_binomial,,,,Mammalia,58
Papio papio,no,no,yes,1,Papio papio,as_supplied_binomial,,,,Mammalia,1
Papio ursinus,no,no,yes,1,Papio ursinus,as_supplied_binomial,,,,Mammalia,6
Parus major,no,yes,no,1,Parus major,as_supplied_binomial,Aves,Passeriformes,Paridae,,0
Passerculus sandwichensis,no,yes,no,1,Passerculus sandwichensis,as_supplied_binomial,Aves,Passeriformes,Passerellidae,,0
Passerina cyanea,no,yes,no,1,Passerina cyanea,as_supplied_binomial,Aves,Passeriformes,Cardinalidae,,0
Philesturnus rufusater,no,yes,no,1,Philesturnus rufusater,as_supplied_binomial,Aves,Passeriformes,Callaeatidae,,0
Philetairus socius,no,no,yes,1,Philetairus socius,as_supplied_binomial,,,,Aves,23
Physeter macrocephalus,yes,yes,no,1,Physeter macrocephalus,as_supplied_binomial,Mammalia,Cetacea,Physeteridae,,0
Pipistrellus pipistrellus,no,yes,no,1,Pipistrellus pipistrellus,as_supplied_binomial,Mammalia,Chiroptera,Vespertilionidae,,0
Plocepasser mahali,no,yes,no,1,Plocepasser mahali,as_supplied_binomial,Aves,Passeriformes,Passeridae,,0
Ploceus bicolor,no,yes,no,1,Ploceus bicolor stictifrons,collapse_trinomial_to_species,Aves,Passeriformes,Ploceidae,,0
Poecile atricapillus,no,yes,no,1,Poecile atricapillus,as_supplied_binomial,Aves,Passeriformes,Paridae,,0
Poecilia reticulata,no,no,yes,1,Poecilia reticulata,as_supplied_binomial,,,,Actinopterygii,9
Pongo abelii,yes,yes,no,1,Pongo abelii,as_supplied_binomial,Mammalia,Primates,Hominidae,,0
Pongo pygmaeus,yes,yes,no,2,Pongo pygmaeus; Pongo pygmaeus wurmbii,as_supplied_binomial; collapse_trinomial_to_species,Mammalia,Primates,Hominidae,,0
Procyon lotor,no,no,yes,1,Procyon lotor,as_supplied_binomial,,,,Mammalia,52
Psittacus erithacus,yes,no,no,1,Psittacus erithacus,as_supplied_binomial,,,,,0
Rattus rattus,no,yes,no,1,Rattus rattus,as_supplied_binomial,Mammalia,Rodentia,Muridae,,0
Rhinolophus monoceros,no,yes,no,1,Rhinolophus monoceros,as_supplied_binomial,Mammalia,Chiroptera,Rhinolophidae,,0
Rhinolophus pumilus,no,yes,no,1,Rhinolophus pumilus,as_supplied_binomial,Mammalia,Chiroptera,Rhinolophidae,,0
Rhynchophorus ferrugineus,no,no,yes,1,Rhynchophorus ferrugineus,as_supplied_binomial,,,,Insecta,3
Saguinus fuscicollis,no,no,yes,1,Saguinus fuscicollis,as_supplied_binomial,,,,Mammalia,1
Saguinus mystax,no,no,yes,1,Saguinus mystax,as_supplied_binomial,,,,Mammalia,1
Saguinus oedipus,no,no,yes,1,Saguinus oedipus,as_supplied_binomial,,,,Mammalia,4
Saimiri oerstedii,no,no,yes,1,Saimiri oerstedii,as_supplied_binomial,,,,Mammalia,1
Sapajus apella,no,no,yes,1,Sapajus apella,as_supplied_binomial,,,,Mammalia,1
Sapajus libidinosus,yes,yes,no,1,Sapajus libidinosus,as_supplied_binomial,Mammalia,Primates,Cebidae,,0
Sarcophilus harrisii,no,no,yes,1,Sarcophilus harrisii,as_supplied_binomial,,,,Mammalia,12
Sepia apama,no,no,yes,1,Sepia apama,as_supplied_binomial,,,,Cephalapoda,1
Serracutisoma proximum,no,no,yes,1,Serracutisoma proximum,as_supplied_binomial,,,,Arachnida,1
Sotalia guianensis,no,yes,no,1,Sotalia guianensis,as_supplied_binomial,Mammalia,Cetacea,Delphinidae,,0
Sousa sahulensis,no,no,yes,1,Sousa sahulensis,as_supplied_binomial,,,,Mammalia,1
Stegodyphus dumicola,no,no,yes,1,Stegodyphus dumicola,as_supplied_binomial,,,,Arachnida,1
Suricata suricatta,yes,no,no,1,Suricata suricatta,as_supplied_binomial,,,,,0
Thamnophis butleri,no,no,yes,1,Thamnophis butleri,as_supplied_binomial,,,,Reptilia,4
Tiliqua rugosa,no,no,yes,1,Tiliqua rugosa,as_supplied_binomial,,,,Reptilia,1
Trachypithecus johnii,no,no,yes,1,Trachypithecus johnii,as_supplied_binomial,,,,Mammalia,1
Trichosurus cunninghami,no,no,yes,1,Trichosurus cunninghami,as_supplied_binomial,,,,Mammalia,1
Tursiops aduncus,yes,yes,no,1,Tursiops aduncus,as_supplied_binomial,Mammalia,Cetacea,Delphinidae,,0
Tursiops truncatus,yes,yes,yes,2,Tursiops truncatus; Tursiops truncatus subsp. gephyreus,as_supplied_binomial; collapse_explicit_subspecies,Mammalia,Cetacea,Delphinidae,Mammalia,5
Ursus americanus,no,no,yes,1,Ursus americanus,as_supplied_binomial,,,,Mammalia,1
Zalophus californianus,no,no,yes,1,Zalophus californianus,as_supplied_binomial,,,,Mammalia,1
Zonotrichia atricapilla,no,no,yes,1,Zonotrichia atricapilla,as_supplied_binomial,,,,Aves,4
Zonotrichia capensis,no,yes,no,1,Zonotrichia capensis,as_supplied_binomial,Aves,Passeriformes,Passerellidae,,0
Zonotrichia leucophrys,no,yes,no,1,Zonotrichia leucophrys nuttalli,collapse_trinomial_to_species,Aves,Passeriformes,Passerellidae,,0
