taxon_id,scientific_name,common_name,major_clade,priority,contrast_role,acdb_exact,acdb_behaviors,acdb_domains,literature_exact_rows,literature_related_rows,animaltraits_exact,body_mass_obs_n,brain_mass_obs_n,metabolic_obs_n,anage_exact,maximum_longevity_yrs,female_maturity_days,male_maturity_days,interbirth_interval_days,anage_metabolic_rate_w,anage_quality,neural_exact_rows,forebrain_like_structure,forebrain_like_neurons_million,whole_neurons_million,neural_method,openalex_all,openalex_behavior,openalex_cognition,openalex_social_transmission,openalex_manipulation,openalex_communication,ott_id,ott_matched_name,ott_synonym,exact_evidence_route
LRO,Leontopithecus rosalia,golden_lion_tamarin,Primates,core,teaching_candidate,no,0,0,0,2,no,0,0,0,yes,31.6,547,730,189,,high,0,,,,,1833,1330,434,604,927,863,921451,Leontopithecus rosalia,false,yes
CME,Corvus moneduloides,New_Caledonian_crow,Aves,core,convergent_tool_cognition,yes,5,3,2,0,yes,1,1,0,no,,,,,,,1,pallium,1090,,isotropic_fractionator_compiled,767,682,589,455,683,501,200022,Corvus moneduloides,false,yes
CRA,Corvus corax,common_raven,Aves,core,convergent_social_cognition,yes,2,3,0,0,yes,1,0,1,yes,69,1095,1095,,5.5656,acceptable,1,pallium,1204,,isotropic_fractionator,6775,4382,1693,2002,3196,3082,140425,Corvus corax,false,yes
KEA,Nestor notabilis,kea,Aves,core,flexibility_social_learning_low_copy_fidelity,no,0,0,1,0,no,0,0,0,yes,47,,,,,acceptable,2,pallium,1281,2148.67,isotropic_fractionator,1277,822,561,455,725,637,749203,Nestor notabilis,false,yes
CGO,Cacatua goffiniana,Goffins_cockatoo,Aves,core,parrot_tool_innovation,no,0,0,2,0,no,0,0,0,yes,26,,,,,questionable,2,pallium,599,1160.59,isotropic_fractionator,793,188,142,100,161,122,619331,Cacatua goffiniana,false,yes
PER,Psittacus erithacus,African_grey_parrot,Aves,core,referential_vocal_learning,no,0,0,1,0,no,0,0,0,yes,49.7,,,,,acceptable,2,pallium,850,1565.93,isotropic_fractionator,2888,1818,1175,1186,1572,1452,285641,Psittacus erithacus,false,yes
MUN,Melopsittacus undulatus,budgerigar,Aves,core,vocal_learning_neural_convergence,no,0,0,1,0,yes,2,1,1,yes,21,180,180,,0.3035,high,2,pallium,149,321.82,isotropic_fractionator,4694,2735,1177,1321,2108,2436,734818,Melopsittacus undulatus,false,yes
TTR,Tursiops truncatus,common_bottlenose_dolphin,Cetacea,core,cetacean_social_cognition_exact_taxon,no,0,0,0,2,no,0,0,0,yes,51.6,2831,3689,858,,acceptable,0,,,,,17512,11307,3884,4869,8638,8679,124230,Tursiops truncatus,false,yes
TAD,Tursiops aduncus,Indo_Pacific_bottlenose_dolphin,Cetacea,core,sponge_tool_culture_exact_taxon,yes,3,1,0,1,no,0,0,0,yes,,,,1095,,low,0,,,,,2927,2205,778,907,1620,1548,257323,Tursiops aduncus,false,yes
OOR,Orcinus orca,killer_whale,Cetacea,core,cultural_repertoire_social_structure,yes,10,4,0,1,no,0,0,0,yes,90,3780,4930,1096,,acceptable,0,,,,,10088,7377,2200,3099,5338,5680,124215,Orcinus orca,false,yes
PMA,Physeter macrocephalus,sperm_whale,Cetacea,core,clan_vocal_culture,yes,3,3,0,1,no,0,0,0,yes,77,2922,3650,1259,,acceptable,0,,,,,6030,4105,1069,1652,2990,3135,276851,Physeter catodon,true,yes
MNO,Megaptera novaeangliae,humpback_whale,Cetacea,extended,song_cultural_transmission,yes,3,3,0,1,no,0,0,0,yes,95,1643,1643,657,,acceptable,0,,,,,9543,6562,1800,2500,4500,4664,226198,Megaptera novaeangliae,false,yes
LAF,Loxodonta africana,African_elephant,Proboscidea,core,long_life_social_memory,yes,2,2,1,0,no,0,0,0,yes,65,4018,3650,1707,,acceptable,3,cerebral_cortex,5590,257040,isotropic_fractionator,12191,8209,2895,4144,6934,6142,541936,Loxodonta africana,false,yes
EMA,Elephas maximus,Asian_elephant,Proboscidea,core,embodied_problem_solving,no,0,0,1,0,no,0,0,0,yes,79.6,3287,3287,1141,2336.5,acceptable,0,,,,,10115,5796,2047,3068,4658,3939,541928,Elephas maximus,false,yes
OVU,Octopus vulgaris,common_octopus,Cephalopoda,core,cognition_social_learning_short_life,no,0,0,1,0,no,0,0,0,no,,,,,,,3,,,500,reviewed_neuroanatomy,6973,4042,1537,2399,3409,2939,110468,Octopus vulgaris,false,yes
BTE,Bombus terrestris,buff_tailed_bumblebee,Hymenoptera,core,supra_individual_social_learning_small_brain,no,0,0,1,0,no,0,0,0,yes,0.27,,,,,acceptable,0,,,,,13710,9483,2901,3283,6576,6907,161197,Bombus terrestris,false,yes
AME,Apis mellifera,honeybee,Hymenoptera,core,collective_information_signal_learning,yes,1,1,1,0,yes,1,26,0,yes,8,,,,,acceptable,1,brain,1,,reviewed_neuroanatomy,88148,48974,14297,23876,35493,35315,461645,Apis mellifera,false,yes
CLI,Columba livia,rock_pigeon,Aves,core,cumulative_route_improvement,no,0,0,1,0,yes,2,2,0,yes,35,140,140,,,high,2,pallium,71.9,310,isotropic_fractionator,29218,10985,4303,5272,8566,8062,938416,Columba livia,false,yes
SSU,Suricata suricatta,meerkat,Carnivora,core,teaching_without_open_ended_culture,no,0,0,1,0,no,0,0,0,yes,20.6,365,365,365,1.729,high,0,,,,,2492,1944,753,788,1318,1496,803645,Suricata suricatta,false,yes
