raw_name,candidate_species,include,normalization,current_panel,acdb,asnr,acdb_class,acdb_order,acdb_family,asnr_class,asnr_network_rows
Orcinus orca,Orcinus orca,yes,as_supplied_binomial,yes,yes,yes,Mammalia,Cetacea,Delphinidae,Mammalia,2
Otis tarda,Otis tarda,yes,as_supplied_binomial,no,yes,no,Aves,Otidiformes,Otididae,,0
Otospermophilus beecheyi,Otospermophilus beecheyi,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,4
Ovis aries,Ovis aries,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Ovis canadensis,Ovis canadensis,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Pampa curvipennis,Pampa curvipennis,yes,as_supplied_binomial,no,yes,no,Aves,Apodiformes,Trochilidae,,0
Pan paniscus,Pan paniscus,yes,as_supplied_binomial,yes,yes,yes,Mammalia,Primates,Hominidae,Mammalia,23
Pan troglodytes,Pan troglodytes,yes,as_supplied_binomial,yes,yes,yes,Mammalia,Primates,Hominidae,Mammalia,4
Pan troglodytes schweinfurthii,Pan troglodytes,yes,collapse_trinomial_to_species,no,yes,no,Mammalia,Primates,Hominidae,,0
Pan troglodytes troglodytes,Pan troglodytes,yes,collapse_trinomial_to_species,no,yes,no,Mammalia,Primates,Hominidae,,0
Pan troglodytes verus,Pan troglodytes,yes,collapse_trinomial_to_species,no,yes,no,Mammalia,Primates,Hominidae,,0
Panthera leo,Panthera leo,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,4
Papio anubis,Papio anubis,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,8
Papio cynocephalus,Papio cynocephalus,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,58
Papio papio,Papio papio,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Papio ursinus,Papio ursinus,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,6
Parus major,Parus major,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Paridae,,0
Passerculus sandwichensis,Passerculus sandwichensis,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Passerellidae,,0
Passerina cyanea,Passerina cyanea,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Cardinalidae,,0
Philesturnus rufusater,Philesturnus rufusater,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Callaeatidae,,0
Philetairus socius,Philetairus socius,yes,as_supplied_binomial,no,no,yes,,,,Aves,23
Physeter macrocephalus,Physeter macrocephalus,yes,as_supplied_binomial,yes,yes,no,Mammalia,Cetacea,Physeteridae,,0
Pipistrellus pipistrellus,Pipistrellus pipistrellus,yes,as_supplied_binomial,no,yes,no,Mammalia,Chiroptera,Vespertilionidae,,0
Plocepasser mahali,Plocepasser mahali,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Passeridae,,0
Ploceus bicolor stictifrons,Ploceus bicolor,yes,collapse_trinomial_to_species,no,yes,no,Aves,Passeriformes,Ploceidae,,0
Poecile atricapillus,Poecile atricapillus,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Paridae,,0
Poecilia reticulata,Poecilia reticulata,yes,as_supplied_binomial,no,no,yes,,,,Actinopterygii,9
Pongo abelii,Pongo abelii,yes,as_supplied_binomial,yes,yes,no,Mammalia,Primates,Hominidae,,0
Pongo pygmaeus,Pongo pygmaeus,yes,as_supplied_binomial,yes,no,no,,,,,0
Pongo pygmaeus wurmbii,Pongo pygmaeus,yes,collapse_trinomial_to_species,no,yes,no,Mammalia,Primates,Hominidae,,0
Procyon lotor,Procyon lotor,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,52
Psittacus erithacus,Psittacus erithacus,yes,as_supplied_binomial,yes,no,no,,,,,0
Rattus rattus,Rattus rattus,yes,as_supplied_binomial,no,yes,no,Mammalia,Rodentia,Muridae,,0
Rhinolophus monoceros,Rhinolophus monoceros,yes,as_supplied_binomial,no,yes,no,Mammalia,Chiroptera,Rhinolophidae,,0
Rhinolophus pumilus,Rhinolophus pumilus,yes,as_supplied_binomial,no,yes,no,Mammalia,Chiroptera,Rhinolophidae,,0
Rhynchophorus ferrugineus,Rhynchophorus ferrugineus,yes,as_supplied_binomial,no,no,yes,,,,Insecta,3
Saguinus fuscicollis,Saguinus fuscicollis,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Saguinus mystax,Saguinus mystax,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Saguinus oedipus,Saguinus oedipus,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,4
Saimiri oerstedii,Saimiri oerstedii,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Sapajus apella,Sapajus apella,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Sapajus libidinosus,Sapajus libidinosus,yes,as_supplied_binomial,yes,yes,no,Mammalia,Primates,Cebidae,,0
Sarcophilus harrisii,Sarcophilus harrisii,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,12
Sepia apama,Sepia apama,yes,as_supplied_binomial,no,no,yes,,,,Cephalapoda,1
Serracutisoma proximum,Serracutisoma proximum,yes,as_supplied_binomial,no,no,yes,,,,Arachnida,1
Sotalia guianensis,Sotalia guianensis,yes,as_supplied_binomial,no,yes,no,Mammalia,Cetacea,Delphinidae,,0
Sousa sahulensis,Sousa sahulensis,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Stegodyphus dumicola,Stegodyphus dumicola,yes,as_supplied_binomial,no,no,yes,,,,Arachnida,1
Suricata suricatta,Suricata suricatta,yes,as_supplied_binomial,yes,no,no,,,,,0
Thamnophis butleri,Thamnophis butleri,yes,as_supplied_binomial,no,no,yes,,,,Reptilia,4
Tiliqua rugosa,Tiliqua rugosa,yes,as_supplied_binomial,no,no,yes,,,,Reptilia,1
Trachypithecus johnii,Trachypithecus johnii,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Trichosurus cunninghami,Trichosurus cunninghami,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Tursiops aduncus,Tursiops aduncus,yes,as_supplied_binomial,yes,yes,no,Mammalia,Cetacea,Delphinidae,,0
Tursiops truncatus,Tursiops truncatus,yes,as_supplied_binomial,yes,yes,yes,Mammalia,Cetacea,Delphinidae,Mammalia,5
Tursiops truncatus subsp. gephyreus,Tursiops truncatus,yes,collapse_explicit_subspecies,no,yes,no,Mammalia,Cetacea,Delphinidae,,0
Ursus americanus,Ursus americanus,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Zalophus californianus,Zalophus californianus,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Zonotrichia atricapilla,Zonotrichia atricapilla,yes,as_supplied_binomial,no,no,yes,,,,Aves,4
Zonotrichia capensis,Zonotrichia capensis,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Passerellidae,,0
Zonotrichia leucophrys nuttalli,Zonotrichia leucophrys,yes,collapse_trinomial_to_species,no,yes,no,Aves,Passeriformes,Passerellidae,,0
