person_id,canonical_name,wikidata_qid,birth_year,death_year,gender,level1_main_occ,level2_main_occ,level3_main_occ,region,candidate_visibility,candidate_frame_group,pilot_stratum,candidate_frame_source,candidate_frame_record_id,orcid,openalex_author_id
cv_Q15459244,Miller Reese Hutchison,Q15459244,1876,1944,Male,Discovery/Science,Explorer/Inventor/Developer,inventor,America,21.653128,grA,1875_1899|v_q4,Laouenan2022_cross_verified,Q15459244,,
cv_Q3611354,Alfredo Boni,Q3611354,1909,1987,Male,Discovery/Science,Academia,geologist,Europe,15.158376,grB,1900_1924|v_q1,Laouenan2022_cross_verified,Q3611354,,
cv_Q594723,Anton Tautscher,Q594723,1906,1976,Male,Discovery/Science,Academia,economist,Europe,17.317833,grB,1900_1924|v_q2,Laouenan2022_cross_verified,Q594723,,
cv_Q118326,Ernst Rexer,Q118326,1902,1983,Male,Discovery/Science,Academia,physicist,Europe,19.429611,grA,1900_1924|v_q3,Laouenan2022_cross_verified,Q118326,,
cv_Q12256675,Elbira Zipitria,Q12256675,1906,1982,Female,Discovery/Science,Academia,education,Europe,20.753061,grB,1900_1924|v_q4,Laouenan2022_cross_verified,Q12256675,,
cv_Q5294283,Donald E. Graves,Q5294283,1929,2008,Male,Discovery/Science,Academia,intelligence,America,15.907797,grA,1925_1949|v_q1,Laouenan2022_cross_verified,Q5294283,,
cv_Q693932,Arnim Bechmann,Q693932,1943,2014,Male,Discovery/Science,Academia,economist,Europe,17.413445,grB,1925_1949|v_q2,Laouenan2022_cross_verified,Q693932,,
cv_Q1717446,Jürgen Manthey,Q1717446,1932,2018,Male,Discovery/Science,Academia,academic,Europe,19.838882,grB,1925_1949|v_q3,Laouenan2022_cross_verified,Q1717446,,
cv_Q1393663,Peter Rice,Q1393663,1935,1992,Male,Discovery/Science,Explorer/Inventor/Developer,engineer,Europe,26.34708,grA,1925_1949|v_q4,Laouenan2022_cross_verified,Q1393663,,
cv_Q18738873,Robert R. Squires,Q18738873,1953,1998,Male,Discovery/Science,Academia,chemist,America,16.237074,grA,1950plus|v_q1,Laouenan2022_cross_verified,Q18738873,,
cv_Q15067213,Marco Zamperini,Q15067213,1963,2013,Male,Discovery/Science,Academia,computer_scientist,Europe,16.829876,grB,1950plus|v_q2,Laouenan2022_cross_verified,Q15067213,,
cv_Q12304083,Allan Steen Kristensen,Q12304083,1958,1997,Male,Discovery/Science,Academia,chemist,Europe,18.521742,grA,1950plus|v_q3,Laouenan2022_cross_verified,Q12304083,,
cv_Q5081954,Charles Read (mathematician),Q5081954,1958,2015,Male,Discovery/Science,Academia,mathematician,Europe,20.613325,grA,1950plus|v_q4,Laouenan2022_cross_verified,Q5081954,,
cv_Q25917613,Hugo Seemann (Ökonom),Q25917613,1856,1932,Male,Discovery/Science,Academia,economist,Europe,16.166067,grB,pre1875|v_q1,Laouenan2022_cross_verified,Q25917613,,
cv_Q15440160,Hans Arnsperger,Q15440160,1872,1955,Male,Discovery/Science,Academia,internist,Europe,16.845686,grB,pre1875|v_q2,Laouenan2022_cross_verified,Q15440160,,
cv_Q5553312,Gertrude Elles,Q5553312,1872,1960,Female,Discovery/Science,Academia,geologist,Europe,20.242615,grA,pre1875|v_q3,Laouenan2022_cross_verified,Q5553312,,
cv_Q95927,Robert Gaupp,Q95927,1870,1953,Male,Discovery/Science,Academia,psychiatrist,Europe,21.565241,grA,pre1875|v_q4,Laouenan2022_cross_verified,Q95927,,
